0, completed initialize, 40000000000
1, [0]Emsl for alloc
2, requested to allocate 9600 bytes on gen3
3, [h0]loh state is start
4, [h0]loh state is try_fit
5, requested to allocate 9576 bytes, actual size is 9600
6, Growing segment allocation 14992000 10000
7, Making unused array [14991018, 14991038[
8, found fit at end of seg: 14991038
9, Expanding segment allocation [14991038, 14993580[
10, [h0]loh state is can_allocate
11, 14991038 is in gen 2
12, [0]Emsl for alloc
13, requested to allocate 160 bytes on gen0
14, evaluating allocation rate
15, [h0]soh state is start
16, [h0]soh state is try_fit
17, requested to allocate 160 bytes, actual size is 4000
18, found fit at end of seg: 4991048
19, Expanding segment allocation [4991048, 4991fd0[
20, clearing memory at 4991040 for 4000 bytes
21, MEMCLR: 4991040, 4000
22, [h0]soh state is can_allocate
23, 4991048 is in gen 0
24, [0]Emsl for alloc
25, requested to allocate 1080 bytes on gen3
26, [h0]loh state is start
27, [h0]loh state is try_fit
28, requested to allocate 1056 bytes, actual size is 1080
29, Making unused array [14993598, 149935b8[
30, found fit at end of seg: 149935b8
31, Expanding segment allocation [149935b8, 149939b8[
32, [h0]loh state is can_allocate
33, [0]Emsl for alloc
34, requested to allocate 88 bytes on gen0
35, evaluating allocation rate
36, [h0]soh state is start
37, [h0]soh state is try_fit
38, requested to allocate 88 bytes, actual size is 8192
39, Growing segment allocation 4992000 10000
40, found fit at end of seg: 4991fe8
41, Expanding segment allocation [4991fe8, 4993fd0[
42, clearing memory at 4991fe0 for 8192 bytes
43, MEMCLR: 4991fe0, 8192
44, [h0]soh state is can_allocate
45, 4992038 is in gen 0
46, [0]Emsl for alloc
47, requested to allocate 16376 bytes on gen3
48, [h0]loh state is start
49, [h0]loh state is try_fit
50, requested to allocate 16352 bytes, actual size is 16376
51, Making unused array [149939d0, 149939f0[
52, found fit at end of seg: 149939f0
53, Expanding segment allocation [149939f0, 149979b0[
54, [h0]loh state is can_allocate
55, [0]Emsl for alloc
56, requested to allocate 8216 bytes on gen3
57, [h0]loh state is start
58, [h0]loh state is try_fit
59, requested to allocate 8192 bytes, actual size is 8216
60, Making unused array [149979c8, 149979e8[
61, found fit at end of seg: 149979e8
62, Expanding segment allocation [149979e8, 149999c8[
63, [h0]loh state is can_allocate
64, 49928b8 is in gen 0
65, 49929d8 is in gen 0
66, [0]Emsl for alloc
67, requested to allocate 536 bytes on gen0
68, evaluating allocation rate
69, [h0]soh state is start
70, [h0]soh state is try_fit
71, requested to allocate 536 bytes, actual size is 8192
72, found fit at end of seg: 4993fe8
73, Expanding segment allocation [4993fe8, 4995fd0[
74, clearing memory at 4993fe0 for 8192 bytes
75, MEMCLR: 4993fe0, 8192
76, [h0]soh state is can_allocate
77, [0]Emsl for alloc
78, requested to allocate 2104 bytes on gen3
79, [h0]loh state is start
80, [h0]loh state is try_fit
81, requested to allocate 2080 bytes, actual size is 2104
82, Making unused array [149999e0, 14999a00[
83, found fit at end of seg: 14999a00
84, Expanding segment allocation [14999a00, 1499a200[
85, [h0]loh state is can_allocate
86, 4995ac0 is in gen 0
87, [0]Emsl for alloc
88, requested to allocate 88 bytes on gen0
89, evaluating allocation rate
90, [h0]soh state is start
91, [h0]soh state is try_fit
92, requested to allocate 88 bytes, actual size is 8192
93, found fit at end of seg: 4995fe8
94, Expanding segment allocation [4995fe8, 4997fd0[
95, clearing memory at 4995fe0 for 8192 bytes
96, MEMCLR: 4995fe0, 8192
97, [h0]soh state is can_allocate
98, 49979a0 is in gen 0
99, [0]Emsl for alloc
100, requested to allocate 64 bytes on gen0
101, evaluating allocation rate
102, [h0]soh state is start
103, [h0]soh state is try_fit
104, requested to allocate 64 bytes, actual size is 8192
105, found fit at end of seg: 4997fe8
106, Expanding segment allocation [4997fe8, 4999fd0[
107, clearing memory at 4997fe0 for 8192 bytes
108, MEMCLR: 4997fe0, 8192
109, [h0]soh state is can_allocate
110, 4998080 is in gen 0
111, 4998d58 is in gen 0
112, 4999168 is in gen 0
